Date,Rainfall
2000-01,97.4
2000-02,112.8375
2000-03,100.075
2000-04,80.3125
2000-05,48.55
2000-06,38.2875
2000-07,56.8875
2000-08,50.175
2000-09,41.7625
2000-10,69.225
2000-11,68.8
2000-12,49.225
2001-01,61.2375
2001-02,113.95
2001-03,107.1875
2001-04,50.075
2001-05,82.725
2001-06,42.75
2001-07,69.2875
2001-08,57.35
2001-09,44.1625
2001-10,61.675
2001-11,88.3
2001-12,56.675
2002-01,58.6375
2002-02,140.475
2002-03,66.625
2002-04,41.2
2002-05,51.95
2002-06,55.3125
2002-07,39
2002-08,42.675
2002-09,47.0875
2002-10,24.8625
2002-11,48.3125
2002-12,45.5875
2003-01,67.7
2003-02,154.9625
2003-03,80.9125
2003-04,61.225
2003-05,90.325
2003-06,68.775
2003-07,55.1625
2003-08,63.7125
2003-09,42.2
2003-10,55.2875
2003-11,66.45
2003-12,95.3375
2004-01,118.6625
2004-02,85.875
2004-03,94.7375
2004-04,31.175
2004-05,40.5875
2004-06,52.4625
2004-07,40.3125
2004-08,76.9875
2004-09,38.45
2004-10,64.3
2004-11,79.3875
2004-12,95.5125
2005-01,87.8875
2005-02,99.225
2005-03,62.2375
2005-04,30.1875
2005-05,41.7
2005-06,86.9375
2005-07,42.7
2005-08,45.375
2005-09,61.2375
2005-10,76.75
2005-11,86.9125
2005-12,54.025
2006-01,116.275
2006-02,60.925
2006-03,86.65
2006-04,76.15
2006-05,31.45
2006-06,52.6875
2006-07,54.725
2006-08,35.4
2006-09,49.5875
2006-10,13.85
2006-11,40.5875
2006-12,63.0875
2007-01,70.725
2007-02,100.1625
2007-03,114.175
2007-04,71.1875
2007-05,37.55
2007-06,93.7375
2007-07,50.5375
2007-08,54.7
2007-09,43.7375
2007-10,31.6125
2007-11,70.1
2007-12,100.025
2008-01,111.375
2008-02,163.975
2008-03,61.7875
2008-04,47.525
2008-05,31
2008-06,70.85
2008-07,79.225
2008-08,36.9
2008-09,41.125
2008-10,47.8
2008-11,89.4875
2008-12,97.875
2009-01,74.25
2009-02,108.0375
2009-03,46.675
2009-04,95.65
2009-05,102.1625
2009-06,77.3125
2009-07,51.0875
2009-08,43.6375
2009-09,58.5
2009-10,50.15
2009-11,57.225
2009-12,115.1125
2010-01,98.1
2010-02,143.35
2010-03,90.475
2010-04,54.6
2010-05,83.125
2010-06,45.8
2010-07,59.525
2010-08,70.2
2010-09,61.925
2010-10,125.025
2010-11,98.55
2010-12,158
2011-01,171.15
2011-02,201.8
2011-03,103.35
2011-04,92.375
2011-05,49.675
2011-06,46.15
2011-07,78.95
2011-08,54.575
2011-09,49.1
2011-10,66.125
2011-11,90.45
2011-12,93
2012-01,147.175
2012-02,108.85
2012-03,173.05
2012-04,68.5
2012-05,48.975
2012-06,97.8875
2012-07,38.225
2012-08,43.575
2012-09,40.675
2012-10,26.725
2012-11,58.35
2012-12,51.075
2013-01,115.55
2013-02,117.1
2013-03,97.875
2013-04,67.0125
2013-05,51.7125
2013-06,98.85
2013-07,65.3125
2013-08,46.875
2013-09,64.1
2013-10,46.875
2013-11,112.6
2013-12,52.625
2014-01,102.3625
2014-02,88.25
2014-03,71.725
2014-04,71.6875
2014-05,41.4
2014-06,56.425
2014-07,48.275
2014-08,73.0875
2014-09,40.2
2014-10,37.95
2014-11,56.85
2014-12,70.85
2015-01,153.0125
2015-02,99.875
2015-03,60.5375
2015-04,106.4
2015-05,80.2125
2015-06,53.3
2015-07,42.975
2015-08,50.75
2015-09,40.775
2015-10,25.425
2015-11,69.3375
2015-12,103.45
2016-01,99.8125
2016-02,53.15
2016-03,76.1
2016-04,31.0125
2016-05,59.6
2016-06,137.7125
2016-07,72.8875
2016-08,57.3
2016-09,95.325
2016-10,62.7625
2016-11,66.975
2016-12,111.4625
2017-01,111.0375
2017-02,128.2875
2017-03,172.15
2017-04,60.4125
2017-05,34.5
2017-06,43.1125
2017-07,49
2017-08,53.4875
2017-09,28.625
2017-10,67.0875
2017-11,76.8
2017-12,99.3125
2018-01,149.725
2018-02,102.975
2018-03,83.5875
2018-04,29.3875
2018-05,49.375
2018-06,75.1875
2018-07,41.3625
2018-08,47.825
2018-09,33.3875
2018-10,65.75
2018-11,77.0625
2018-12,64.2125
2019-01,63.4
2019-02,53.7125
2019-03,96.8625
2019-04,40.075
2019-05,39.4125
2019-06,81.1375
2019-07,37.45
2019-08,49.4125
2019-09,34.3
2019-10,23.575
2019-11,35.0375
2019-12,21.6875
2020-01,101.3375
2020-02,150.0125
2020-03,107.8625
2020-04,70.875
2020-05,50.7625
2020-06,59.85
2020-07,48.5375
2020-08,65.3875
2020-09,46.55
2020-10,95.4875
2020-11,50.975
2020-12,103.525
2021-01,140.4125
2021-02,94.0375
2021-03,143.625
2021-04,45.6125
2021-05,59.1375
2021-06,66.75
2021-07,69.675
2021-08,44.0375
2021-09,54.5
2021-10,91.0625
2021-11,112.1875
2021-12,122.925
2022-01,116.3625
2022-02,245.1
2022-03,134.65
2022-04,89.5375
2022-05,112.9625
2022-06,35.65
2022-07,88.025
2022-08,76.8125
2022-09,68.6875
2022-10,127.675
2022-11,95.45
2022-12,112.3125
2023-01,82.0875
2023-02,105.5375
2023-03,66.825
2023-04,67.1875
2023-05,48.425
2023-06,59.4875
2023-07,35.075
2023-08,32.2625
2023-09,23.475
2023-10,29.4375
2023-11,75.9875
2023-12,99.9875
