Year,Month,Temperature,State
2010,January,31.1,Queensland
2010,January,24.1,Tasmania
2010,January,27,Victoria
2010,January,24.4,New South Wales
2010,January,31.5,Northern Territory
2010,January,35,Western Australia
2010,January,29.6,South Australia
2010,January,31.8,Australian Capital Territory
2011,January,29.6,Queensland
2011,January,22.5,Tasmania
2011,January,26.2,Victoria
2011,January,24.7,New South Wales
2011,January,31.1,Northern Territory
2011,January,33.7,Western Australia
2011,January,29.1,South Australia
2011,January,28.8,Australian Capital Territory
2012,January,28.7,Queensland
2012,January,23.7,Tasmania
2012,January,27.4,Victoria
2012,January,23.9,New South Wales
2012,January,32.6,Northern Territory
2012,January,33.4,Western Australia
2012,January,30,South Australia
2012,January,27.5,Australian Capital Territory
2013,January,30.5,Queensland
2013,January,23.9,Tasmania
2013,January,28,Victoria
2013,January,24.5,New South Wales
2013,January,32.9,Northern Territory
2013,January,32.3,Western Australia
2013,January,28.5,South Australia
2013,January,32.3,Australian Capital Territory
2014,January,30.7,Queensland
2014,January,23.5,Tasmania
2014,January,28.9,Victoria
2014,January,24,New South Wales
2014,January,31.7,Northern Territory
2014,January,32.9,Western Australia
2014,January,30.7,South Australia
2014,January,31.6,Australian Capital Territory
2015,January,30.5,Queensland
2015,January,21.5,Tasmania
2015,January,26.9,Victoria
2015,January,24.8,New South Wales
2015,January,31.2,Northern Territory
2015,January,33.8,Western Australia
2015,January,27.6,South Australia
2015,January,27.4,Australian Capital Territory
2016,January,30.4,Queensland
2016,January,22.5,Tasmania
2016,January,27.2,Victoria
2016,January,24.8,New South Wales
2016,January,33,Northern Territory
2016,January,32.4,Western Australia
2016,January,29.1,South Australia
2016,January,28.5,Australian Capital Territory
2017,January,31.4,Queensland
2017,January,23,Tasmania
2017,January,27.6,Victoria
2017,January,26.5,New South Wales
2017,January,32,Northern Territory
2017,January,32,Western Australia
2017,January,29.1,South Australia
2017,January,32.8,Australian Capital Territory
2018,January,31.8,Queensland
2018,January,24.4,Tasmania
2018,January,28.3,Victoria
2018,January,24.5,New South Wales
2018,January,31.8,Northern Territory
2018,January,31.7,Western Australia
2018,January,30.3,South Australia
2018,January,31.6,Australian Capital Territory
2019,January,31.9,Queensland
2019,January,25.9,Tasmania
2019,January,30.4,Victoria
2019,January,26,New South Wales
2019,January,32.7,Northern Territory
2019,January,31.3,Western Australia
2019,January,31.2,South Australia
2019,January,34.5,Australian Capital Territory
2020,January,30.9,Queensland
2020,January,24.3,Tasmania
2020,January,27.8,Victoria
2020,January,25.3,New South Wales
2020,January,32.8,Northern Territory
2020,January,31.6,Western Australia
2020,January,27.6,South Australia
2020,January,31.7,Australian Capital Territory
2021,January,29.9,Queensland
2021,January,22.5,Tasmania
2021,January,26.1,Victoria
2021,January,23.7,New South Wales
2021,January,31.8,Northern Territory
2021,January,33.6,Western Australia
2021,January,27.9,South Australia
2021,January,28.1,Australian Capital Territory
2022,January,29.7,Queensland
2022,January,22.1,Tasmania
2022,January,30,Victoria
2022,January,24.6,New South Wales
2022,January,32.6,Northern Territory
2022,January,34.6,Western Australia
2022,January,28,South Australia
2022,January,26.9,Australian Capital Territory
2023,January,30,Queensland
2023,January,23.5,Tasmania
2023,January,26.9,Victoria
2023,January,23.8,New South Wales
2023,January,31.8,Northern Territory
2023,January,33.7,Western Australia
2023,January,29.1,South Australia
2023,January,27.6,Australian Capital Territory
2010,February,30.1,Queensland
2010,February,23.1,Tasmania
2010,February,27.8,Victoria
2010,February,25.1,New South Wales
2010,February,32.6,Northern Territory
2010,February,33.1,Western Australia
2010,February,29.7,South Australia
2010,February,27.5,Australian Capital Territory
2011,February,30.6,Queensland
2011,February,20.7,Tasmania
2011,February,24.2,Victoria
2011,February,26.5,New South Wales
2011,February,30.5,Northern Territory
2011,February,34.9,Western Australia
2011,February,27.6,South Australia
2011,February,26.7,Australian Capital Territory
2012,February,29.8,Queensland
2012,February,22.5,Tasmania
2012,February,26.9,Victoria
2012,February,23.4,New South Wales
2012,February,32.4,Northern Territory
2012,February,31.3,Western Australia
2012,February,26.7,South Australia
2012,February,25,Australian Capital Territory
2013,February,28.5,Queensland
2013,February,23.5,Tasmania
2013,February,29,Victoria
2013,February,23.7,New South Wales
2013,February,32.6,Northern Territory
2013,February,34.6,Western Australia
2013,February,28.7,South Australia
2013,February,27.4,Australian Capital Territory
2014,February,30.2,Queensland
2014,February,23.1,Tasmania
2014,February,28.8,Victoria
2014,February,23.4,New South Wales
2014,February,31.3,Northern Territory
2014,February,33.7,Western Australia
2014,February,28.2,South Australia
2014,February,29.4,Australian Capital Territory
2015,February,29.3,Queensland
2015,February,22.5,Tasmania
2015,February,28,Victoria
2015,February,24.4,New South Wales
2015,February,32.6,Northern Territory
2015,February,33.1,Western Australia
2015,February,31,South Australia
2015,February,28.1,Australian Capital Territory
2016,February,32,Queensland
2016,February,23.8,Tasmania
2016,February,27,Victoria
2016,February,25.2,New South Wales
2016,February,33.5,Northern Territory
2016,February,32.8,Western Australia
2016,February,27.2,South Australia
2016,February,29.3,Australian Capital Territory
2017,February,32.5,Queensland
2017,February,22.9,Tasmania
2017,February,26.7,Victoria
2017,February,25.7,New South Wales
2017,February,31.6,Northern Territory
2017,February,30.3,Western Australia
2017,February,27.2,South Australia
2017,February,30.1,Australian Capital Territory
2018,February,29.7,Queensland
2018,February,21.7,Tasmania
2018,February,27.9,Victoria
2018,February,24.5,New South Wales
2018,February,31.6,Northern Territory
2018,February,30.8,Western Australia
2018,February,29,South Australia
2018,February,29,Australian Capital Territory
2019,February,31.6,Queensland
2019,February,22.9,Tasmania
2019,February,27.7,Victoria
2019,February,25,New South Wales
2019,February,33.1,Northern Territory
2019,February,32.2,Western Australia
2019,February,28.2,South Australia
2019,February,29.1,Australian Capital Territory
2020,February,29.9,Queensland
2020,February,20.8,Tasmania
2020,February,24.9,Victoria
2020,February,24.8,New South Wales
2020,February,33.4,Northern Territory
2020,February,33,Western Australia
2020,February,25.5,South Australia
2020,February,27.7,Australian Capital Territory
2021,February,30,Queensland
2021,February,22.5,Tasmania
2021,February,25.3,Victoria
2021,February,23.8,New South Wales
2021,February,31.4,Northern Territory
2021,February,30.8,Western Australia
2021,February,26.3,South Australia
