Date,Temperature,State
2010-01,15.3,Australian Capital Territory
2011-01,15.3,Australian Capital Territory
2012-01,12.6,Australian Capital Territory
2013-01,13.9,Australian Capital Territory
2014-01,12.1,Australian Capital Territory
2015-01,13.9,Australian Capital Territory
2016-01,14,Australian Capital Territory
2017-01,14.9,Australian Capital Territory
2018-01,14.4,Australian Capital Territory
2019-01,17.7,Australian Capital Territory
2020-01,15.2,Australian Capital Territory
2021-01,12.3,Australian Capital Territory
2022-01,14.8,Australian Capital Territory
2023-01,12.8,Australian Capital Territory
2010-02,15.3,Australian Capital Territory
2011-02,14.4,Australian Capital Territory
2012-02,12.9,Australian Capital Territory
2013-02,12.8,Australian Capital Territory
2014-02,13.5,Australian Capital Territory
2015-02,13.1,Australian Capital Territory
2016-02,13.3,Australian Capital Territory
2017-02,12.9,Australian Capital Territory
2018-02,12.8,Australian Capital Territory
2019-02,12.9,Australian Capital Territory
2020-02,15.1,Australian Capital Territory
2021-02,12.8,Australian Capital Territory
2022-02,12.4,Australian Capital Territory
2023-02,12.3,Australian Capital Territory
2010-03,11.6,Australian Capital Territory
2011-03,11.8,Australian Capital Territory
2012-03,10.1,Australian Capital Territory
2013-03,9.6,Australian Capital Territory
2014-03,12.2,Australian Capital Territory
2015-03,9.1,Australian Capital Territory
2016-03,12.6,Australian Capital Territory
2017-03,12.8,Australian Capital Territory
2018-03,10.4,Australian Capital Territory
2019-03,12,Australian Capital Territory
2020-03,10.8,Australian Capital Territory
2021-03,9.9,Australian Capital Territory
2022-03,12.6,Australian Capital Territory
2023-03,11.5,Australian Capital Territory
2010-04,7.5,Australian Capital Territory
2011-04,5.4,Australian Capital Territory
2012-04,6.2,Australian Capital Territory
2013-04,5.5,Australian Capital Territory
2014-04,7.4,Australian Capital Territory
2015-04,7.2,Australian Capital Territory
2016-04,8.3,Australian Capital Territory
2017-04,5.5,Australian Capital Territory
2018-04,8.7,Australian Capital Territory
2019-04,7.5,Australian Capital Territory
2020-04,7.9,Australian Capital Territory
2021-04,3.7,Australian Capital Territory
2022-04,8.5,Australian Capital Territory
2023-04,5.9,Australian Capital Territory
2010-05,3.1,Australian Capital Territory
2011-05,0,Australian Capital Territory
2012-05,-0.2,Australian Capital Territory
2013-05,1.3,Australian Capital Territory
2014-05,2.7,Australian Capital Territory
2015-05,2.7,Australian Capital Territory
2016-05,4.8,Australian Capital Territory
2017-05,1.6,Australian Capital Territory
2018-05,2.2,Australian Capital Territory
2019-05,3.3,Australian Capital Territory
2020-05,2.8,Australian Capital Territory
2021-05,2.6,Australian Capital Territory
2022-05,4.4,Australian Capital Territory
2023-05,0.8,Australian Capital Territory
2010-06,0.6,Australian Capital Territory
2011-06,0.7,Australian Capital Territory
2012-06,0.6,Australian Capital Territory
2013-06,1.6,Australian Capital Territory
2014-06,2.8,Australian Capital Territory
2015-06,-0.8,Australian Capital Territory
2016-06,3,Australian Capital Territory
2017-06,-1.4,Australian Capital Territory
2018-06,1.8,Australian Capital Territory
2019-06,-0.1,Australian Capital Territory
2020-06,1.3,Australian Capital Territory
2021-06,2,Australian Capital Territory
2022-06,0.4,Australian Capital Territory
2023-06,2.5,Australian Capital Territory
2010-07,-0.3,Australian Capital Territory
2011-07,-0.7,Australian Capital Territory
2012-07,-1.1,Australian Capital Territory
2013-07,1.7,Australian Capital Territory
2014-07,0,Australian Capital Territory
2015-07,-0.7,Australian Capital Territory
2016-07,2.2,Australian Capital Territory
2017-07,-2.3,Australian Capital Territory
2018-07,-1.7,Australian Capital Territory
2019-07,0.7,Australian Capital Territory
2020-07,1.2,Australian Capital Territory
2021-07,1,Australian Capital Territory
2022-07,0.1,Australian Capital Territory
2023-07,-0.2,Australian Capital Territory
2010-08,1.7,Australian Capital Territory
2011-08,1.2,Australian Capital Territory
2012-08,-0.5,Australian Capital Territory
2013-08,2.4,Australian Capital Territory
2014-08,-0.8,Australian Capital Territory
2015-08,1,Australian Capital Territory
2016-08,1.1,Australian Capital Territory
2017-08,0.5,Australian Capital Territory
2018-08,0.8,Australian Capital Territory
2019-08,0.1,Australian Capital Territory
2020-08,1.7,Australian Capital Territory
2021-08,0.8,Australian Capital Territory
2022-08,2.6,Australian Capital Territory
2023-08,1.3,Australian Capital Territory
2010-09,4,Australian Capital Territory
2011-09,1.9,Australian Capital Territory
2012-09,1.6,Australian Capital Territory
2013-09,4,Australian Capital Territory
2014-09,2.7,Australian Capital Territory
2015-09,1.5,Australian Capital Territory
2016-09,4.8,Australian Capital Territory
2017-09,2.7,Australian Capital Territory
2018-09,1.8,Australian Capital Territory
2019-09,2.1,Australian Capital Territory
2020-09,4.7,Australian Capital Territory
2021-09,3.6,Australian Capital Territory
2022-09,4.4,Australian Capital Territory
2023-09,2.3,Australian Capital Territory
2010-10,7.2,Australian Capital Territory
2011-10,5.7,Australian Capital Territory
2012-10,3.4,Australian Capital Territory
2013-10,3.8,Australian Capital Territory
2014-10,5.4,Australian Capital Territory
2015-10,8.3,Australian Capital Territory
2016-10,5.2,Australian Capital Territory
2017-10,7.1,Australian Capital Territory
2018-10,7.3,Australian Capital Territory
2019-10,6.2,Australian Capital Territory
2020-10,8.8,Australian Capital Territory
2021-10,5.5,Australian Capital Territory
2022-10,8.4,Australian Capital Territory
2023-10,5.1,Australian Capital Territory
2010-11,9.7,Australian Capital Territory
2011-11,10.4,Australian Capital Territory
2012-11,9.3,Australian Capital Territory
2013-11,6.7,Australian Capital Territory
2014-11,10.2,Australian Capital Territory
2015-11,10.9,Australian Capital Territory
2016-11,8.6,Australian Capital Territory
2017-11,9.6,Australian Capital Territory
2018-11,10.5,Australian Capital Territory
2019-11,9.5,Australian Capital Territory
2020-11,10.4,Australian Capital Territory
2021-11,9.4,Australian Capital Territory
2022-11,7.7,Australian Capital Territory
2023-11,10.5,Australian Capital Territory
2010-12,11.7,Australian Capital Territory
2011-12,10.3,Australian Capital Territory
2012-12,11.8,Australian Capital Territory
2013-12,11.5,Australian Capital Territory
2014-12,12.7,Australian Capital Territory
2015-12,11.4,Australian Capital Territory
2016-12,13.5,Australian Capital Territory
2017-12,13.9,Australian Capital Territory
2018-12,13.7,Australian Capital Territory
2019-12,13.1,Australian Capital Territory
2020-12,11.5,Australian Capital Territory
2021-12,11.3,Australian Capital Territory
2022-12,8.6,Australian Capital Territory
2023-12,12.7,Australian Capital Territory
2010-01,20.7,New South Wales
2011-01,20.8,New South Wales
2012-01,19.8,New South Wales
2013-01,20.4,New South Wales
2014-01,19.9,New South Wales
2015-01,20.6,New South Wales
2016-01,19.9,New South Wales
2017-01,21.1,New South Wales
2018-01,20.4,New South Wales
2019-01,21.4,New South Wales
2020-01,20.9,New South Wales
2021-01,19.7,New South Wales
2022-01,21.4,New South Wales
2023-01,19.9,New South Wales
2010-02,21.1,New South Wales
2011-02,21.1,New South Wales
2012-02,19.7,New South Wales
2013-02,20,New South Wales
2014-02,20.1,New South Wales
2015-02,20.8,New South Wales
2016-02,21.3,New South Wales
2017-02,20.9,New South Wales
2018-02,20.3,New South Wales
2019-02,20,New South Wales
2020-02,20.3,New South Wales
2021-02,19.9,New South Wales
2022-02,19.9,New South Wales
2023-02,20.6,New South Wales
2010-03,19.9,New South Wales
2011-03,19.6,New South Wales
2012-03,18.2,New South Wales
2013-03,19.5,New South Wales
2014-03,19.5,New South Wales
2015-03,19,New South Wales
2016-03,19.9,New South Wales
2017-03,20.2,New South Wales
2018-03,19.8,New South Wales
2019-03,19.6,New South Wales
2020-03,18.2,New South Wales
2021-03,18.8,New South Wales
2022-03,19.4,New South Wales
2023-03,20.5,New South Wales
2010-04,17,New South Wales
2011-04,15.9,New South Wales
2012-04,16.3,New South Wales
2013-04,16,New South Wales
2014-04,16.9,New South Wales
2015-04,15.9,New South Wales
2016-04,17.9,New South Wales
2017-04,15.8,New South Wales
2018-04,18.9,New South Wales
2019-04,17,New South Wales
2020-04,17.1,New South Wales
2021-04,15.8,New South Wales
2022-04,17,New South Wales
2023-04,16.4,New South Wales
2010-05,13.4,New South Wales
2011-05,12,New South Wales
2012-05,12.7,New South Wales
2013-05,13.1,New South Wales
2014-05,14.6,New South Wales
2015-05,13.5,New South Wales
2016-05,14.6,New South Wales
2017-05,13.9,New South Wales
2018-05,13.4,New South Wales
2019-05,14.2,New South Wales
2020-05,13.5,New South Wales
2021-05,13.8,New South Wales
2022-05,14.2,New South Wales
2023-05,12.1,New South Wales
2010-06,10.9,New South Wales
2011-06,11.6,New South Wales
2012-06,11,New South Wales
2013-06,11.9,New South Wales
2014-06,12.4,New South Wales
2015-06,11.3,New South Wales
2016-06,12.2,New South Wales
2017-06,11.5,New South Wales
2018-06,11,New South Wales
2019-06,11.4,New South Wales
2020-06,11.9,New South Wales
2021-06,11.2,New South Wales
2022-06,10.9,New South Wales
2023-06,11.6,New South Wales
2010-07,10.4,New South Wales
2011-07,9.9,New South Wales
2012-07,10.3,New South Wales
2013-07,11.2,New South Wales
2014-07,10.5,New South Wales
2015-07,9.3,New South Wales
2016-07,11.1,New South Wales
2017-07,10.3,New South Wales
2018-07,10.1,New South Wales
2019-07,11,New South Wales
2020-07,11.5,New South Wales
2021-07,10.6,New South Wales
2022-07,11,New South Wales
2023-07,11.1,New South Wales
2010-08,10.6,New South Wales
2011-08,11.9,New South Wales
2012-08,10.5,New South Wales
2013-08,11.6,New South Wales
2014-08,10.7,New South Wales
2015-08,11,New South Wales
2016-08,11.1,New South Wales
2017-08,10.8,New South Wales
2018-08,10.8,New South Wales
2019-08,10.8,New South Wales
2020-08,10.8,New South Wales
2021-08,11.4,New South Wales
2022-08,11.9,New South Wales
2023-08,12.2,New South Wales
2010-09,13.1,New South Wales
2011-09,13.4,New South Wales
2012-09,13,New South Wales
2013-09,14.6,New South Wales
2014-09,13.2,New South Wales
2015-09,13,New South Wales
2016-09,14,New South Wales
2017-09,13.2,New South Wales
2018-09,12.4,New South Wales
2019-09,13.1,New South Wales
2020-09,14.2,New South Wales
2021-09,13,New South Wales
2022-09,13.4,New South Wales
2023-09,13.8,New South Wales
2010-10,15.4,New South Wales
2011-10,14.8,New South Wales
2012-10,14.2,New South Wales
2013-10,15.4,New South Wales
2014-10,15.7,New South Wales
2015-10,17.4,New South Wales
2016-10,14.7,New South Wales
2017-10,16.4,New South Wales
2018-10,15.5,New South Wales
2019-10,15.4,New South Wales
2020-10,16,New South Wales
2021-10,15,New South Wales
2022-10,15.7,New South Wales
2023-10,15.5,New South Wales
2010-11,17,New South Wales
2011-11,17.7,New South Wales
2012-11,17.1,New South Wales
2013-11,16.7,New South Wales
2014-11,18.2,New South Wales
2015-11,18,New South Wales
2016-11,17.6,New South Wales
2017-11,17.2,New South Wales
2018-11,17.4,New South Wales
2019-11,17.1,New South Wales
2020-11,17.5,New South Wales
2021-11,16.6,New South Wales
2022-11,15.9,New South Wales
2023-11,18.1,New South Wales
2010-12,18.6,New South Wales
2011-12,17.2,New South Wales
2012-12,18.7,New South Wales
2013-12,19,New South Wales
2014-12,19.4,New South Wales
2015-12,18.6,New South Wales
2016-12,19.8,New South Wales
2017-12,19.7,New South Wales
2018-12,19.4,New South Wales
2019-12,19.1,New South Wales
2020-12,18.7,New South Wales
2021-12,18.6,New South Wales
2022-12,17.2,New South Wales
2023-12,19.7,New South Wales
2010-01,24.8,Northern Territory
2011-01,24.2,Northern Territory
2012-01,24.9,Northern Territory
2013-01,25.8,Northern Territory
2014-01,24.9,Northern Territory
2015-01,25.1,Northern Territory
2016-01,26.1,Northern Territory
2017-01,25.5,Northern Territory
2018-01,24.5,Northern Territory
2019-01,25.3,Northern Territory
2020-01,26,Northern Territory
2021-01,25.1,Northern Territory
2022-01,25.3,Northern Territory
2023-01,25.6,Northern Territory
2010-02,25.8,Northern Territory
2011-02,24.5,Northern Territory
2012-02,25,Northern Territory
2013-02,24.8,Northern Territory
2014-02,25.2,Northern Territory
2015-02,24.9,Northern Territory
2016-02,25.4,Northern Territory
2017-02,25.1,Northern Territory
2018-02,25.1,Northern Territory
2019-02,26,Northern Territory
2020-02,26.8,Northern Territory
2021-02,25,Northern Territory
2022-02,24.4,Northern Territory
2023-02,25.5,Northern Territory
2010-03,25.3,Northern Territory
2011-03,24.8,Northern Territory
2012-03,24.8,Northern Territory
2013-03,25.1,Northern Territory
2014-03,24.7,Northern Territory
2015-03,25.5,Northern Territory
2016-03,26.2,Northern Territory
2017-03,24.8,Northern Territory
2018-03,25.3,Northern Territory
2019-03,25.3,Northern Territory
2020-03,25.4,Northern Territory
2021-03,25.1,Northern Territory
2022-03,25.7,Northern Territory
2023-03,24.9,Northern Territory
2010-04,24.7,Northern Territory
2011-04,23.3,Northern Territory
2012-04,23.6,Northern Territory
2013-04,24.4,Northern Territory
2014-04,24.8,Northern Territory
2015-04,24.2,Northern Territory
2016-04,25,Northern Territory
2017-04,24.1,Northern Territory
