Year,Month,Temperature,State
2010,January,15.3,Australian Captial Territory
2010,January,20.7,New South Wales
2010,January,13.9,Victoria
2010,January,18.8,Western Australia
2010,January,16.8,South Australia
2010,January,21.9,Queensland
2010,January,24.8,Northern Territory
2010,January,12.9,Tasmania
2011,January,15.3,Australian Captial Territory
2011,January,20.8,New South Wales
2011,January,15,Victoria
2011,January,19,Western Australia
2011,January,17.1,South Australia
2011,January,21.2,Queensland
2011,January,24.2,Northern Territory
2011,January,13.4,Tasmania
2012,January,12.6,Australian Captial Territory
2012,January,19.8,New South Wales
2012,January,14.8,Victoria
2012,January,19.7,Western Australia
2012,January,18.1,South Australia
2012,January,20.7,Queensland
2012,January,24.9,Northern Territory
2012,January,13.5,Tasmania
2013,January,13.9,Australian Captial Territory
2013,January,20.4,New South Wales
2013,January,13.7,Victoria
2013,January,18.5,Western Australia
2013,January,15.7,South Australia
2013,January,22.3,Queensland
2013,January,25.8,Northern Territory
2013,January,13.1,Tasmania
2014,January,12.1,Australian Captial Territory
2014,January,19.9,New South Wales
2014,January,15.2,Victoria
2014,January,17.8,Western Australia
2014,January,17.8,South Australia
2014,January,21.5,Queensland
2014,January,24.9,Northern Territory
2014,January,12.5,Tasmania
2015,January,13.9,Australian Captial Territory
2015,January,20.6,New South Wales
2015,January,14,Victoria
2015,January,17.7,Western Australia
2015,January,17,South Australia
2015,January,22.5,Queensland
2015,January,25.1,Northern Territory
2015,January,13.2,Tasmania
2016,January,14,Australian Captial Territory
2016,January,19.9,New South Wales
2016,January,15.4,Victoria
2016,January,19,Western Australia
2016,January,17.6,South Australia
2016,January,20.9,Queensland
2016,January,26.1,Northern Territory
2016,January,14.4,Tasmania
2017,January,14.9,Australian Captial Territory
2017,January,21.1,New South Wales
2017,January,14.7,Victoria
2017,January,16.3,Western Australia
2017,January,17.8,South Australia
2017,January,23,Queensland
2017,January,25.5,Northern Territory
2017,January,13.5,Tasmania
2018,January,14.4,Australian Captial Territory
2018,January,20.4,New South Wales
2018,January,15.5,Victoria
2018,January,17.3,Western Australia
2018,January,18.2,South Australia
2018,January,21.6,Queensland
2018,January,24.5,Northern Territory
2018,January,14.3,Tasmania
2019,January,17.7,Australian Captial Territory
2019,January,21.4,New South Wales
2019,January,15.5,Victoria
2019,January,15.8,Western Australia
2019,January,17.9,South Australia
2019,January,22.7,Queensland
2019,January,25.3,Northern Territory
2019,January,14.7,Tasmania
2020,January,15.2,Australian Captial Territory
2020,January,20.9,New South Wales
2020,January,13.7,Victoria
2020,January,16.7,Western Australia
2020,January,16.3,South Australia
2020,January,23.1,Queensland
2020,January,26,Northern Territory
2020,January,13.8,Tasmania
2021,January,12.3,Australian Captial Territory
2021,January,19.7,New South Wales
2021,January,13.7,Victoria
2021,January,18.6,Western Australia
2021,January,16.6,South Australia
2021,January,21.3,Queensland
2021,January,25.1,Northern Territory
2021,January,12.7,Tasmania
2022,January,14.8,Australian Captial Territory
2022,January,21.4,New South Wales
2022,January,16.4,Victoria
2022,January,18.7,Western Australia
2022,January,18.8,South Australia
2022,January,21.7,Queensland
2022,January,25.3,Northern Territory
2022,January,14.3,Tasmania
2023,January,12.8,Australian Captial Territory
2023,January,19.9,New South Wales
2023,January,15,Victoria
2023,January,18,Western Australia
2023,January,16.9,South Australia
2023,January,20.9,Queensland
2023,January,25.6,Northern Territory
2023,January,14.2,Tasmania
2010,February,15.3,Australian Captial Territory
2010,February,21.1,New South Wales
2010,February,15.9,Victoria
2010,February,18,Western Australia
2010,February,18.1,South Australia
2010,February,22,Queensland
2010,February,25.8,Northern Territory
2010,February,13.7,Tasmania
2011,February,14.4,Australian Captial Territory
2011,February,21.1,New South Wales
2011,February,14.3,Victoria
2011,February,20.8,Western Australia
2011,February,17.7,South Australia
2011,February,21.7,Queensland
2011,February,24.5,Northern Territory
2011,February,11.8,Tasmania
2012,February,12.9,Australian Captial Territory
2012,February,19.7,New South Wales
2012,February,14.4,Victoria
2012,February,18.3,Western Australia
2012,February,16.8,South Australia
2012,February,21.1,Queensland
2012,February,25,Northern Territory
2012,February,13.3,Tasmania
2013,February,12.8,Australian Captial Territory
2013,February,20,New South Wales
2013,February,15.3,Victoria
2013,February,18.6,Western Australia
2013,February,17.3,South Australia
2013,February,20.6,Queensland
2013,February,24.8,Northern Territory
2013,February,13.8,Tasmania
2014,February,13.5,Australian Captial Territory
2014,February,20.1,New South Wales
2014,February,14.3,Victoria
2014,February,18.2,Western Australia
2014,February,16.9,South Australia
2014,February,21.2,Queensland
2014,February,25.2,Northern Territory
2014,February,13,Tasmania
2015,February,13.1,Australian Captial Territory
2015,February,20.8,New South Wales
2015,February,15.5,Victoria
2015,February,18.6,Western Australia
2015,February,17.5,South Australia
2015,February,20.9,Queensland
2015,February,24.9,Northern Territory
2015,February,13.4,Tasmania
2016,February,13.3,Australian Captial Territory
2016,February,21.3,New South Wales
2016,February,14.9,Victoria
2016,February,17.3,Western Australia
2016,February,16.2,South Australia
2016,February,22,Queensland
2016,February,25.4,Northern Territory
2016,February,14.4,Tasmania
2017,February,12.9,Australian Captial Territory
2017,February,20.9,New South Wales
2017,February,12.9,Victoria
2017,February,17.2,Western Australia
2017,February,16.6,South Australia
2017,February,22.7,Queensland
2017,February,25.1,Northern Territory
2017,February,11.8,Tasmania
2018,February,12.8,Australian Captial Territory
2018,February,20.3,New South Wales
2018,February,14.5,Victoria
2018,February,17.7,Western Australia
2018,February,18.1,South Australia
2018,February,21.2,Queensland
2018,February,25.1,Northern Territory
2018,February,12.8,Tasmania
2019,February,12.9,Australian Captial Territory
2019,February,20,New South Wales
2019,February,14,Victoria
2019,February,17.4,Western Australia
2019,February,16.6,South Australia
2019,February,22,Queensland
2019,February,26,Northern Territory
2019,February,13,Tasmania
2020,February,15.1,Australian Captial Territory
2020,February,20.3,New South Wales
2020,February,14.4,Victoria
2020,February,19.9,Western Australia
2020,February,16.3,South Australia
2020,February,22.3,Queensland
2020,February,26.8,Northern Territory
2020,February,12.1,Tasmania
2021,February,12.8,Australian Captial Territory
2021,February,19.9,New South Wales
2021,February,13,Victoria
2021,February,17.2,Western Australia
2021,February,16,South Australia
2021,February,21.5,Queensland
2021,February,25,Northern Territory
2021,February,12.9,Tasmania
2022,February,12.4,Australian Captial Territory
2022,February,19.9,New South Wales
2022,February,13.8,Victoria
2022,February,18.6,Western Australia
2022,February,16.6,South Australia
2022,February,20.5,Queensland
2022,February,24.4,Northern Territory
2022,February,13.4,Tasmania
2023,February,12.3,Australian Captial Territory
2023,February,20.6,New South Wales
2023,February,13.7,Victoria
2023,February,17.4,Western Australia
2023,February,16.4,South Australia
2023,February,21.5,Queensland
2023,February,25.5,Northern Territory
2023,February,13.2,Tasmania
2010,March,11.6,Australian Captial Territory
2010,March,19.9,New South Wales
2010,March,14.4,Victoria
2010,March,17.4,Western Australia
2010,March,15.3,South Australia
2010,March,20.4,Queensland
2010,March,25.3,Northern Territory
2010,March,13.5,Tasmania
2011,March,11.8,Australian Captial Territory
2011,March,19.6,New South Wales
2011,March,12.8,Victoria
2011,March,18.5,Western Australia
2011,March,15,South Australia
2011,March,20.3,Queensland
2011,March,24.8,Northern Territory
2011,March,10.9,Tasmania
2012,March,10.1,Australian Captial Territory
2012,March,18.2,New South Wales
2012,March,12.6,Victoria
2012,March,15.6,Western Australia
2012,March,14.7,South Australia
2012,March,19.7,Queensland
2012,March,24.8,Northern Territory
2012,March,12,Tasmania
2013,March,9.6,Australian Captial Territory
2013,March,19.5,New South Wales
2013,March,14.7,Victoria
2013,March,15.2,Western Australia
2013,March,17.6,South Australia
2013,March,19.9,Queensland
2013,March,25.1,Northern Territory
2013,March,13.5,Tasmania
2014,March,12.2,Australian Captial Territory
2014,March,19.5,New South Wales
2014,March,13.6,Victoria
2014,March,17.1,Western Australia
2014,March,14.6,South Australia
2014,March,20.1,Queensland
2014,March,24.7,Northern Territory
2014,March,12.6,Tasmania
2015,March,9.1,Australian Captial Territory
2015,March,19,New South Wales
2015,March,11.1,Victoria
2015,March,16.2,Western Australia
2015,March,14.3,South Australia
2015,March,21.3,Queensland
2015,March,25.5,Northern Territory
2015,March,9.9,Tasmania
2016,March,12.6,Australian Captial Territory
2016,March,19.9,New South Wales
2016,March,14.3,Victoria
2016,March,17.5,Western Australia
2016,March,16.4,South Australia
2016,March,20.7,Queensland
2016,March,26.2,Northern Territory
2016,March,12.5,Tasmania
2017,March,12.8,Australian Captial Territory
2017,March,20.2,New South Wales
2017,March,14.4,Victoria
2017,March,15.5,Western Australia
2017,March,17,South Australia
2017,March,22,Queensland
2017,March,24.8,Northern Territory
2017,March,12.9,Tasmania
2018,March,10.4,Australian Captial Territory
2018,March,19.8,New South Wales
2018,March,12.8,Victoria
2018,March,17.1,Western Australia
2018,March,15.9,South Australia
2018,March,20.8,Queensland
2018,March,25.3,Northern Territory
2018,March,12.4,Tasmania
2019,March,12,Australian Captial Territory
2019,March,19.6,New South Wales
2019,March,14,Victoria
2019,March,17.2,Western Australia
2019,March,15.5,South Australia
2019,March,21.5,Queensland
2019,March,25.3,Northern Territory
2019,March,12.2,Tasmania
2020,March,10.8,Australian Captial Territory
2020,March,18.2,New South Wales
2020,March,12.2,Victoria
2020,March,17.2,Western Australia
2020,March,15,South Australia
2020,March,20.1,Queensland
2020,March,25.4,Northern Territory
2020,March,10.9,Tasmania
2021,March,9.9,Australian Captial Territory
2021,March,18.8,New South Wales
2021,March,12,Victoria
2021,March,16.9,Western Australia
2021,March,14.3,South Australia
2021,March,20.6,Queensland
2021,March,25.1,Northern Territory
2021,March,11.8,Tasmania
2022,March,12.6,Australian Captial Territory
2022,March,19.4,New South Wales
2022,March,14.1,Victoria
2022,March,17.8,Western Australia
2022,March,15.8,South Australia
2022,March,20.2,Queensland
2022,March,25.7,Northern Territory
2022,March,12.7,Tasmania
2023,March,11.5,Australian Captial Territory
2023,March,20.5,New South Wales
2023,March,12.9,Victoria
2023,March,16.3,Western Australia
2023,March,15.1,South Australia
2023,March,21.5,Queensland
2023,March,24.9,Northern Territory
2023,March,11.6,Tasmania
2010,April,7.5,Australian Captial Territory
2010,April,17,New South Wales
2010,April,12.4,Victoria
2010,April,13,Western Australia
2010,April,13.7,South Australia
2010,April,18.1,Queensland
2010,April,24.7,Northern Territory
2010,April,10.7,Tasmania
2011,April,5.4,Australian Captial Territory
2011,April,15.9,New South Wales
2011,April,9.3,Victoria
2011,April,14.2,Western Australia
2011,April,11.5,South Australia
2011,April,17.4,Queensland
2011,April,23.3,Northern Territory
2011,April,10,Tasmania
2012,April,6.2,Australian Captial Territory
2012,April,16.3,New South Wales
2012,April,9.9,Victoria
2012,April,14,Western Australia
2012,April,12,South Australia
2012,April,17.3,Queensland
2012,April,23.6,Northern Territory
2012,April,10.4,Tasmania
2013,April,5.5,Australian Captial Territory
2013,April,16,New South Wales
2013,April,10.3,Victoria
2013,April,16.1,Western Australia
2013,April,12.5,South Australia
2013,April,16.6,Queensland
2013,April,24.4,Northern Territory
2013,April,9.4,Tasmania
2014,April,7.4,Australian Captial Territory
2014,April,16.9,New South Wales
2014,April,11.6,Victoria
2014,April,13.1,Western Australia
2014,April,12.8,South Australia
2014,April,17.9,Queensland
2014,April,24.8,Northern Territory
2014,April,9.7,Tasmania
2015,April,7.2,Australian Captial Territory
2015,April,15.9,New South Wales
2015,April,8.9,Victoria
2015,April,13.4,Western Australia
2015,April,11,South Australia
2015,April,17,Queensland
2015,April,24.2,Northern Territory
2015,April,8.9,Tasmania
2016,April,8.3,Australian Captial Territory
2016,April,17.9,New South Wales
2016,April,11.9,Victoria
2016,April,14.6,Western Australia
2016,April,12.6,South Australia
2016,April,18.5,Queensland
2016,April,25,Northern Territory
2016,April,10.8,Tasmania
2017,April,5.5,Australian Captial Territory
2017,April,15.8,New South Wales
2017,April,10.9,Victoria
2017,April,12.1,Western Australia
2017,April,13.1,South Australia
2017,April,16.5,Queensland
2017,April,24.1,Northern Territory
2017,April,9.8,Tasmania
2018,April,8.7,Australian Captial Territory
2018,April,18.9,New South Wales
2018,April,10.3,Victoria
2018,April,13.2,Western Australia
2018,April,14,South Australia
2018,April,18,Queensland
2018,April,24.1,Northern Territory
2018,April,10.1,Tasmania
2019,April,7.5,Australian Captial Territory
2019,April,17,New South Wales
2019,April,10.4,Victoria
2019,April,12.6,Western Australia
2019,April,13.7,South Australia
2019,April,17.9,Queensland
2019,April,24.5,Northern Territory
2019,April,9,Tasmania
2020,April,7.9,Australian Captial Territory
2020,April,17.1,New South Wales
2020,April,9.9,Victoria
2020,April,13.5,Western Australia
2020,April,12.7,South Australia
2020,April,17.9,Queensland
2020,April,25.1,Northern Territory
2020,April,10.4,Tasmania
2021,April,3.7,Australian Captial Territory
2021,April,15.8,New South Wales
2021,April,10,Victoria
2021,April,13.4,Western Australia
2021,April,11.4,South Australia
2021,April,16.4,Queensland
2021,April,24.1,Northern Territory
2021,April,10.1,Tasmania
2022,April,8.5,Australian Captial Territory
2022,April,17,New South Wales
2022,April,11.1,Victoria
2022,April,13.9,Western Australia
2022,April,14.3,South Australia
2022,April,18,Queensland
2022,April,25.2,Northern Territory
2022,April,10.3,Tasmania
2023,April,5.9,Australian Captial Territory
2023,April,16.4,New South Wales
2023,April,10.4,Victoria
2023,April,11.9,Western Australia
2023,April,12.5,South Australia
2023,April,16.9,Queensland
2023,April,24.4,Northern Territory
2023,April,10.1,Tasmania
2010,May,3.1,Australian Captial Territory
2010,May,13.4,New South Wales
2010,May,7.9,Victoria
2010,May,8.3,Western Australia
2010,May,9.9,South Australia
2010,May,14,Queensland
2010,May,24.3,Northern Territory
2010,May,6.7,Tasmania
2011,May,0,Australian Captial Territory
2011,May,12,New South Wales
2011,May,7.7,Victoria
2011,May,11,Western Australia
2011,May,9.8,South Australia
2011,May,12.8,Queensland
2011,May,19.9,Northern Territory
