Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
2010,15.3,15.3,11.6,7.5,3.1,0.6,-0.3,1.7,4,7.2,9.7,11.7,Australian Captial Territory
2010,20.7,21.1,19.9,17,13.4,10.9,10.4,10.6,13.1,15.4,17,18.6,New South Wales
2010,13.9,15.9,14.4,12.4,7.9,6,5.3,5.5,6.8,8.4,11.1,11.9,Victoria
2010,18.8,18,17.4,13,8.3,7.4,5.8,6,8,9.7,14.3,15.8,Western Australia
2010,16.8,18.1,15.3,13.7,9.9,7.1,6,8,9,10.6,13.4,15.5,South Australia
2010,21.9,22,20.4,18.1,14,11.7,11.9,10.9,15.5,16,18.5,20.5,Queensland
2010,24.8,25.8,25.3,24.7,24.3,20.2,22.3,21.4,24.4,24.5,24.7,24.5,Northern Territory
2010,12.9,13.7,13.5,10.7,6.7,5,5,5.3,6.6,8.3,9.7,11.2,Tasmania
2011,15.3,14.4,11.8,5.4,0,0.7,-0.7,1.2,1.9,5.7,10.4,10.3,Australian Captial Territory
2011,20.8,21.1,19.6,15.9,12,11.6,9.9,11.9,13.4,14.8,17.7,17.2,New South Wales
2011,15,14.3,12.8,9.3,7.7,6.2,5.6,6.6,7.1,9,12,12.2,Victoria
2011,19,20.8,18.5,14.2,11,10,8.6,8.8,8.9,12.2,14.1,17.5,Western Australia
2011,17.1,17.7,15,11.5,9.8,7.8,7.1,8.2,9.3,12.5,14.3,15.3,South Australia
2011,21.2,21.7,20.3,17.4,12.8,10.3,9.5,11.2,12.6,15.9,19.9,18.8,Queensland
2011,24.2,24.5,24.8,23.3,19.9,16.1,19.3,18.7,21.9,24.5,24.7,25.7,Northern Territory
2011,13.4,11.8,10.9,10,7.1,5.2,4.5,8.1,7.1,8.1,10.9,11.6,Tasmania
2012,12.6,12.9,10.1,6.2,-0.2,0.6,-1.1,-0.5,1.6,3.4,9.3,11.8,Australian Captial Territory
2012,19.8,19.7,18.2,16.3,12.7,11,10.3,10.5,13,14.2,17.1,18.7,New South Wales
2012,14.8,14.4,12.6,9.9,7.7,5.9,5.9,5.9,7.3,8,10.9,12.5,Victoria
2012,19.7,18.3,15.6,14,10.2,10.1,5.6,8.2,8.8,11.7,12.7,16.8,Western Australia
2012,18.1,16.8,14.7,12,8.7,7.2,7.5,7.4,9,9.6,14.5,15.5,South Australia
2012,20.7,21.1,19.7,17.3,12.7,12.1,11.1,9.6,13.4,15.4,18.4,21,Queensland
2012,24.9,25,24.8,23.6,21.2,17.5,18.7,17.8,21.9,24.3,25.4,25.4,Northern Territory
2012,13.5,13.3,12,10.4,8.1,5.3,4.7,5.7,7.3,8.2,10.4,12.2,Tasmania
2013,13.9,12.8,9.6,5.5,1.3,1.6,1.7,2.4,4,3.8,6.7,11.5,Australian Captial Territory
2013,20.4,20,19.5,16,13.1,11.9,11.2,11.6,14.6,15.4,16.7,19,New South Wales
2013,13.7,15.3,14.7,10.3,8,5.8,7,7.2,9.1,8.8,10.2,11.9,Victoria
2013,18.5,18.6,15.2,16.1,10.6,7.8,6.6,9.9,10.6,11.3,15.1,15.5,Western Australia
2013,15.7,17.3,17.6,12.5,11.7,8.2,8.8,9.2,11.7,11.1,12.1,14.6,South Australia
2013,22.3,20.6,19.9,16.6,13.5,12.2,12.6,10.8,14.9,17,18.1,19.6,Queensland
2013,25.8,24.8,25.1,24.4,23.7,21.6,20,19.4,23.3,24.7,24.5,25,Northern Territory
2013,13.1,13.8,13.5,9.4,7.1,6.1,6.2,5.7,8.2,8.5,9.6,11.8,Tasmania
2014,12.1,13.5,12.2,7.4,2.7,2.8,0,-0.8,2.7,5.4,10.2,12.7,Australian Captial Territory
2014,19.9,20.1,19.5,16.9,14.6,12.4,10.5,10.7,13.2,15.7,18.2,19.4,New South Wales
2014,15.2,14.3,13.6,11.6,9.5,8,6.4,5.8,7.4,9.1,10.6,12.8,Victoria
2014,17.8,18.2,17.1,13.1,11.8,7.5,8.5,10.2,10.6,11.4,12.5,14.9,Western Australia
2014,17.8,16.9,14.6,12.8,11.6,8.9,7.8,5.5,9.9,11.3,14,14.9,South Australia
2014,21.5,21.2,20.1,17.9,15.1,12.6,8.5,11.9,12.9,16.6,20.7,21.2,Queensland
2014,24.9,25.2,24.7,24.8,23.3,20,18.9,17.8,21,23.6,25.1,26.6,Northern Territory
2014,12.5,13,12.6,9.7,7.7,6.4,5.9,5.4,7.8,8.6,10.3,12.1,Tasmania
2015,13.9,13.1,9.1,7.2,2.7,-0.8,-0.7,1,1.5,8.3,10.9,11.4,Australian Captial Territory
2015,20.6,20.8,19,15.9,13.5,11.3,9.3,11,13,17.4,18,18.6,New South Wales
2015,14,15.5,11.1,8.9,8.2,5.7,5.1,6.3,6.8,10.7,11.1,13.2,Victoria
2015,17.7,18.6,16.2,13.4,8.8,10,9.1,9.2,9.3,12.2,15,16,Western Australia
2015,17,17.5,14.3,11,10,8,6.8,8.1,8.8,13,14.1,17.2,South Australia
2015,22.5,20.9,21.3,17,13.9,12.5,10.2,11.6,12.8,16.3,19.8,20,Queensland
2015,25.1,24.9,25.5,24.2,21,21,18.9,19.7,22.1,24.1,25.9,25.2,Northern Territory
2015,13.2,13.4,9.9,8.9,6.8,5.3,4.4,3.7,7.4,8.8,10.8,12.2,Tasmania
2016,14,13.3,12.6,8.3,4.8,3,2.2,1.1,4.8,5.2,8.6,13.5,Australian Captial Territory
2016,19.9,21.3,19.9,17.9,14.6,12.2,11.1,11.1,14,14.7,17.6,19.8,New South Wales
2016,15.4,14.9,14.3,11.9,9.7,6.5,6.8,6.4,8.2,7.9,9.6,12.7,Victoria
2016,19,17.3,17.5,14.6,9.5,8.8,7.4,7.5,6.8,9.4,12.4,14.7,Western Australia
2016,17.6,16.2,16.4,12.6,12.5,9.2,8.4,7.9,9.7,10.5,12.2,14.9,South Australia
2016,20.9,22,20.7,18.5,15,13.1,12.3,11.8,15.2,15.1,19.4,21.2,Queensland
2016,26.1,25.4,26.2,25,24.7,23,19.8,20.2,24.7,24.6,25.5,25.2,Northern Territory
2016,14.4,14.4,12.5,10.8,8.7,6.5,6.2,5.5,8,8,10.1,12.2,Tasmania
2017,14.9,12.9,12.8,5.5,1.6,-1.4,-2.3,0.5,2.7,7.1,9.6,13.9,Australian Captial Territory
2017,21.1,20.9,20.2,15.8,13.9,11.5,10.3,10.8,13.2,16.4,17.2,19.7,New South Wales
2017,14.7,12.9,14.4,10.9,7.5,5.4,4.8,5.4,7,8.9,12.8,13.3,Victoria
2017,16.3,17.2,15.5,12.1,11.1,8.6,9.7,9.1,9.7,10.8,15.4,16.4,Western Australia
2017,17.8,16.6,17,13.1,9.1,5.4,8.2,8,10.8,12.3,16.3,15.3,South Australia
2017,23,22.7,22,16.5,15.1,12.9,10.3,10.9,14.2,18.9,17.7,20.8,Queensland
2017,25.5,25.1,24.8,24.1,22.6,20,21.1,20.2,22.5,25.4,24.7,25.9,Northern Territory
2017,13.5,11.8,12.9,9.8,7.6,5.9,3.5,4.6,5.8,10,12.1,13.4,Tasmania
2018,14.4,12.8,10.4,8.7,2.2,1.8,-1.7,0.8,1.8,7.3,10.5,13.7,Australian Captial Territory
2018,20.4,20.3,19.8,18.9,13.4,11,10.1,10.8,12.4,15.5,17.4,19.4,New South Wales
2018,15.5,14.5,12.8,10.3,8.9,5.3,5.9,5,5.7,9,10.8,14.3,Victoria
2018,17.3,17.7,17.1,13.2,10.3,8.9,9.2,7.8,8.1,12.6,12.5,15.2,Western Australia
2018,18.2,18.1,15.9,14,11.4,7.2,8.4,9.3,7.9,12.1,13.3,16.5,South Australia
2018,21.6,21.2,20.8,18,13.9,11.4,10.8,9.6,13.9,16.7,18.9,20.8,Queensland
2018,24.5,25.1,25.3,24.1,21.8,20.1,20,20.1,22.9,25.2,25.5,27.1,Northern Territory
2018,14.3,12.8,12.4,10.1,8.4,5.1,5.8,5.5,6.9,9.1,10.6,13.3,Tasmania
2019,17.7,12.9,12,7.5,3.3,-0.1,0.7,0.1,2.1,6.2,9.5,13.1,Australian Captial Territory
2019,21.4,20,19.6,17,14.2,11.4,11,10.8,13.1,15.4,17.1,19.1,New South Wales
2019,15.5,14,14,10.4,8.9,7,6.4,5.5,6.8,8.5,9.3,12.4,Victoria
2019,15.8,17.4,17.2,12.6,8,9.2,8.4,7.8,9,10.6,14,17.7,Western Australia
2019,17.9,16.6,15.5,13.7,10.4,7.6,9,7.3,8.4,11.8,12.7,16.6,South Australia
2019,22.7,22,21.5,17.9,14.3,12.4,11.4,11.7,14.1,16.5,19.6,21.2,Queensland
2019,25.3,26,25.3,24.5,22.9,19,18.5,19.4,21.2,24.2,25.6,26.2,Northern Territory
2019,14.7,13,12.2,9,8.2,5.5,6,5,7.2,7.7,9.4,11.3,Tasmania
2020,15.2,15.1,10.8,7.9,2.8,1.3,1.2,1.7,4.7,8.8,10.4,11.5,Australian Captial Territory
2020,20.9,20.3,18.2,17.1,13.5,11.9,11.5,10.8,14.2,16,17.5,18.7,New South Wales
2020,13.7,14.4,12.2,9.9,7.1,5.6,5.5,5.9,8.1,9,11.9,11.2,Victoria
2020,16.7,19.9,17.2,13.5,9.2,11.1,8.6,7.9,10.1,11.6,12.5,16.4,Western Australia
2020,16.3,16.3,15,12.7,9.1,6.8,5.6,7.7,11,11.8,14.5,14.7,South Australia
2020,23.1,22.3,20.1,17.9,13.8,12.5,11.5,11.4,14.9,17,19,22.2,Queensland
2020,26,26.8,25.4,25.1,22.4,21.1,19.2,21,23.7,25.3,25.8,25,Northern Territory
2020,13.8,12.1,10.9,10.4,7.5,5.7,4.6,5.5,7.3,8.2,11.8,11.2,Tasmania
2021,12.3,12.8,9.9,3.7,2.6,2,1,0.8,3.6,5.5,9.4,11.3,Australian Captial Territory
